Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value
19,191,1014,0,1,1,1,1,0,0,0,1,1,0,1,0,0.09960159362549803,-0.07490039840637452,0.0728862973760933,-0.03937007874015748,0.38645418326693226,0.3665338645418327,0.24701195219123506
20,1175,320,0,0,1,1,1,0,0,0,1,1,0,1,0,0.035483870967741915,-0.13419354838709685,0.026378896882494004,-0.05303030303030303,0.36774193548387096,0.34516129032258064,0.2870967741935484
21,1122,377,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.032653061224489854,-0.28734693877551026,-0.024691358024691357,-0.19130434782608696,0.4122448979591837,0.3224489795918367,0.2653061224489796
22,888,341,0,0,1,1,1,0,0,0,1,1,0,1,0,0.02593192868719607,-0.12447325769854145,0.01932367149758454,-0.02510460251046025,0.35170178282009723,0.3419773095623987,0.3063209076175041
23,605,470,0,0,1,1,0,0,0,0,0,0,0,0,0,-0.11764705882352938,-0.39999999999999997,-0.09090909090909091,-0.2857142857142857,0.4117647058823529,0.29411764705882354,0.29411764705882354
24,1269,1071,0,0,1,1,1,0,0,0,0,1,0,1,0,0.007751937984496138,-0.22428940568475453,0.005802707930367505,-0.1443850267379679,0.40568475452196384,0.3359173126614987,0.25839793281653745
25,568,1149,1,0,1,1,1,0,0,0,0,1,0,1,0,0.022535211267605604,-0.19661971830985914,0.01680672268907563,-0.12280701754385964,0.4,0.3408450704225352,0.2591549295774648
26,1009,188,0,0,1,1,1,0,0,0,1,1,0,1,0,0.049295774647887314,-0.1267605633802817,0.036521739130434785,-0.057291666666666664,0.3755868544600939,0.34976525821596244,0.2746478873239437
27,877,972,0,0,1,1,1,0,0,0,0,1,0,1,0,0.01041666666666674,-0.18749999999999978,0.007792207792207792,-0.10317460317460317,0.3819444444444444,0.3368055555555556,0.28125
28,658,377,0,0,1,1,0,0,0,0,0,1,0,1,0,0.017857142857142905,-0.24285714285714283,0.013333333333333334,-0.16666666666666666,0.42857142857142855,0.3392857142857143,0.23214285714285715
29,495,924,0,0,1,1,1,0,0,0,1,1,0,1,0,0.028571428571428525,-0.1565714285714287,0.02127659574468085,-0.07792207792207792,0.37714285714285717,0.34285714285714286,0.28
