Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Y,X,Reference,Predicted_EXG_L,Predicted_EXGR_L,Predicted_GLI_L,Predicted_VARI_L,Predicted_EXG_G,Predicted_EXGR_G,Predicted_GLI_G,Predicted_VARI_G,Predicted_EXG_Z,Predicted_EXGR_Z,Predicted_GLI_Z,Predicted_VARI_Z,Predicted_ALL_MODE,Predicted_ZERO_MODE,EXG_Value,EXGR_Value,GLI_Value,VARI_Value,Red_Value,Green_Value,Blue_Value,Predicted_GLOBAL_ZERO_MODE
19,19,19,1009,950,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5000000000000001,0.6054545454545456,0.3333333333333333,0.3870967741935484,0.2818181818181818,0.5,0.21818181818181817,1
20,20,20,553,1271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0454545454545454,1.2818181818181817,0.6216216216216216,0.36363636363636365,0.3181818181818182,0.6818181818181818,0.0,1
21,21,21,765,659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5131578947368421,0.6736842105263158,0.34110787172011664,0.5175438596491229,0.24561403508771928,0.5043859649122807,0.25,1
22,22,22,652,524,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0.30339805825242716,0.27572815533980577,0.21150592216582065,0.19724770642201836,0.3300970873786408,0.4344660194174757,0.2354368932038835,1
23,23,23,430,27,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.10416666666666674,0.025000000000000133,0.07614213197969544,0.12962962962962962,0.3194444444444444,0.3680555555555556,0.3125,1
24,24,24,629,1083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.45871559633027525,0.4568807339449542,0.30864197530864196,0.2054794520547945,0.3486238532110092,0.48623853211009177,0.1651376146788991,1
25,25,25,829,278,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0.21637426900584794,0.16608187134502927,0.1539528432732316,0.1729957805907173,0.3255360623781676,0.40545808966861596,0.26900584795321636,1
26,26,26,659,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4461538461538462,0.5261538461538462,0.30103806228373703,0.3619047619047619,0.28717948717948716,0.48205128205128206,0.23076923076923078,1
27,27,27,1122,740,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.049132947976878616,-0.11705202312138724,0.03640256959314775,-0.04304635761589404,0.3684971098265896,0.34971098265895956,0.2817919075144509,0
28,28,28,956,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10000000000000003,-0.3533333333333334,-0.07692307692307693,-0.24390243902439024,0.3952380952380952,0.3,0.3047619047619048,0
29,29,29,427,1266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.42718446601941745,0.37961165048543694,0.2894736842105263,0.14583333333333334,0.3737864077669903,0.47572815533980584,0.15048543689320387,1
